iter	Passed	Remaining
0	0	78
1	1	71
2	2	69
3	2	63
4	3	62
5	3	60
6	4	59
7	5	58
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	8	54
14	9	54
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	49
23	15	48
24	15	47
25	16	46
26	17	47
27	18	46
28	18	45
29	19	45
30	20	44
31	20	43
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	26	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	30	32
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	41	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	46	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	56	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	59	3
95	60	2
96	61	1
97	61	1
98	62	0
99	62	0
