iter	Passed	Remaining
0	153	153334
1	156	77954
2	160	53386
3	162	40549
4	164	32718
5	166	27599
6	168	23934
7	169	21064
8	171	18917
9	172	17119
10	174	15702
11	176	14498
12	177	13513
13	179	12669
14	182	11952
15	183	11286
16	184	10693
17	187	10211
18	189	9763
19	190	9358
20	191	8949
21	193	8595
22	194	8279
23	196	7971
24	197	7709
25	199	7464
26	200	7235
27	202	7030
28	203	6816
29	204	6625
30	206	6462
31	209	6338
32	210	6177
33	213	6074
34	215	5939
35	216	5803
36	218	5687
37	220	5574
38	221	5466
39	223	5369
40	225	5265
41	226	5172
42	228	5085
43	230	5001
44	231	4922
45	232	4826
46	234	4747
47	235	4664
48	237	4619
49	241	4588
50	243	4529
51	245	4472
52	247	4417
53	249	4363
54	251	4312
55	252	4263
56	254	4215
57	256	4169
58	258	4125
59	260	4082
60	262	4042
61	264	4001
62	267	3977
63	269	3939
64	271	3903
65	273	3867
66	275	3835
67	277	3802
68	279	3770
69	281	3741
70	284	3716
71	286	3686
72	288	3659
73	290	3629
74	291	3601
75	293	3573
76	295	3545
77	300	3552
78	302	3526
79	304	3500
80	306	3474
81	308	3449
82	308	3412
83	310	3388
84	312	3367
85	314	3341
86	316	3319
87	318	3298
88	319	3275
89	321	3252
90	323	3228
91	325	3208
92	329	3209
93	332	3202
94	334	3186
95	336	3165
96	337	3146
97	340	3137
98	342	3117
99	344	3100
100	347	3095
101	350	3085
102	352	3069
103	354	3052
104	356	3038
105	358	3025
106	362	3025
107	364	3009
108	366	2994
109	368	2979
110	370	2963
111	371	2948
112	373	2934
113	401	3117
114	403	3102
115	405	3087
116	414	3127
117	416	3112
118	418	3097
119	420	3081
120	422	3066
121	423	3046
122	425	3030
123	427	3019
124	429	3003
125	431	2993
126	433	2980
127	435	2969
128	438	2960
129	439	2944
130	442	2932
131	444	2920
132	446	2913
133	450	2909
134	452	2897
135	454	2887
136	457	2880
137	460	2877
138	462	2864
139	464	2851
140	465	2837
141	466	2820
142	468	2808
143	470	2799
144	472	2786
145	474	2775
146	476	2762
147	478	2753
148	479	2736
149	481	2726
150	483	2715
151	483	2699
152	486	2691
153	489	2686
154	492	2683
155	494	2673
156	496	2663
157	497	2653
158	499	2643
159	501	2634
160	502	2620
161	504	2610
162	516	2650
163	518	2641
164	520	2631
165	522	2623
166	524	2613
167	531	2631
168	534	2627
169	536	2620
170	539	2615
171	541	2606
172	543	2597
173	545	2588
174	547	2580
175	549	2572
176	551	2564
177	553	2556
178	555	2547
179	557	2539
180	559	2531
181	568	2557
182	571	2551
183	573	2544
184	576	2538
185	577	2529
186	580	2522
187	582	2513
188	583	2505
189	585	2496
190	587	2487
191	588	2477
192	590	2467
193	592	2462
194	594	2453
195	596	2446
196	598	2438
197	600	2431
198	602	2423
199	604	2416
200	605	2408
201	694	2742
202	697	2738
203	699	2728
204	701	2718
205	702	2708
206	704	2698
207	708	2695
208	711	2691
209	714	2686
210	715	2677
211	717	2666
212	718	2656
213	720	2646
214	732	2675
215	734	2666
216	736	2656
217	737	2646
218	740	2639
219	741	2629
220	743	2620
221	744	2610
222	746	2601
223	748	2591
224	749	2581
225	751	2574
226	753	2566
227	755	2557
228	756	2548
229	758	2538
230	759	2529
231	761	2521
232	763	2511
233	764	2503
234	766	2496
235	767	2485
236	769	2476
237	770	2468
238	772	2459
239	774	2451
240	775	2442
241	777	2434
242	778	2426
243	780	2418
244	782	2410
245	783	2401
246	785	2393
247	786	2385
248	788	2377
249	789	2369
250	791	2361
251	793	2355
252	795	2348
253	797	2341
254	799	2336
255	801	2330
256	803	2323
257	805	2316
258	807	2310
259	809	2303
260	811	2297
261	813	2290
262	815	2283
263	827	2307
264	829	2300
265	831	2294
266	833	2287
267	835	2281
268	837	2274
269	838	2268
270	840	2261
271	846	2265
272	848	2259
273	850	2253
274	852	2246
275	854	2240
276	856	2234
277	857	2228
278	860	2222
279	861	2216
280	863	2210
281	865	2204
282	867	2198
283	869	2191
284	871	2185
285	873	2179
286	875	2173
287	876	2168
288	879	2162
289	881	2157
290	883	2151
291	884	2145
292	886	2139
293	891	2139
294	892	2133
295	894	2127
296	896	2123
297	898	2117
298	900	2111
299	902	2105
300	904	2100
301	906	2094
302	907	2088
303	909	2081
304	910	2075
305	912	2069
306	913	2063
307	915	2056
308	916	2049
309	918	2043
310	920	2038
311	921	2032
312	923	2026
313	924	2019
314	925	2013
315	927	2006
316	928	2001
317	930	1995
318	931	1989
319	933	1983
320	936	1980
321	937	1973
322	939	1968
323	940	1962
324	942	1957
325	943	1951
326	945	1946
327	947	1941
328	949	1936
329	950	1929
330	951	1923
331	953	1917
332	955	1914
333	957	1909
334	959	1904
335	960	1898
336	962	1893
337	963	1887
338	965	1881
339	967	1877
340	968	1872
341	970	1867
342	972	1862
343	974	1858
344	976	1853
345	978	1849
346	980	1844
347	982	1840
348	983	1835
349	985	1830
350	987	1826
351	989	1821
352	991	1817
353	993	1812
354	995	1809
355	997	1804
356	1000	1801
